ThumbName;ThumbWidth;ThumbHeight;TaxKey;NoTax;TaxPercent;SellingPrice;CalculatedPrice;QtyDiscounts;ManufactPKID;BaseCategoryFKID;ProductsCategories;BaseCategoryDiscount;Weight;FormattedWeight;ShippingSurcharge;MinOrderQty;MaxOrderQty;OrderQtyStep;OQType;OQDefValue;OQDDOptionsCount;PricingConfiguration;PricePrefix;DiscountPrefix;PriceSuffix;DisplayBasePrice;QtyUnit;MUAmount;MeasureUnit;MUBase;DeliveryTimeImage;VarHeader;VarValues;WebPath;IsSmartLink;SmartLinkType;SmartLinkTarget;NoDetailPage;HideListPrice
1{BOL}../../images/img_nopic_small.gif;85;86;1;0;19;25;25;;;3;3;0;0;0_2C00_20kg;0;1;0;1;0;1;50;0;;;;0;St_C3_BCck;1;ml;1;0;;;pi1/pi3/pd1.html;0;99;;0;0
2{BOL}../../images/img_nopic_small.gif;85;86;1;0;19;50;50;;;3;3;0;0;0_2C00_20kg;0;1;0;1;0;1;50;0;;;;0;St_C3_BCck;1;ml;1;0;;;pi1/pi3/pd2.html;0;1;;0;0
3{BOL}../../images/img_nopic_small.gif;85;86;1;0;19;80;80;;;3;3;0;0;0_2C00_20kg;0;1;0;1;0;1;50;0;;;;0;St_C3_BCck;1;ml;1;0;;;pi1/pi3/pd3.html;0;1;;0;0
4{BOL}../../images/img_nopic_small.gif;85;86;1;0;19;25;25;;;4;4;0;0;0_2C00_20kg;0;1;0;1;0;1;50;0;;;;0;St_C3_BCck;1;ml;1;0;;;pi1/pi4/pd4.html;0;1;;0;0
5{BOL}../../images/img_nopic_small.gif;85;86;1;0;19;60;60;;;4;4;0;0;0_2C00_20kg;0;1;0;1;0;1;50;0;;;;0;St_C3_BCck;1;ml;1;0;;;pi1/pi4/pd5.html;0;1;;0;0
6{BOL}../../images/img_nopic_small.gif;85;86;1;0;19;75;75;;;5;5;0;0;0_2C00_20kg;0;1;0;1;0;1;50;0;;;;0;St_C3_BCck;1;ml;1;0;;;pi1/pi5/pd6.html;0;1;;0;0
7{BOL}../../images/img_nopic_small.gif;85;86;1;0;19;90;90;;;5;5;0;0;0_2C00_20kg;0;1;0;1;0;1;50;0;;;;0;St_C3_BCck;1;ml;1;0;;;pi1/pi5/pd7.html;0;1;;0;0
8{BOL}../../images/img_nopic_small.gif;85;86;1;0;19;130;130;;;5;5;0;0;0_2C00_20kg;0;1;0;1;0;1;50;0;;;;0;St_C3_BCck;1;ml;1;0;;;pi1/pi5/pd8.html;0;1;;0;0
9{BOL}../../images/img_nopic_small.gif;85;86;1;0;19;35;35;;;6;6;0;0;0_2C00_20kg;0;1;0;1;0;1;50;0;;;;0;St_C3_BCck;1;ml;1;0;;;pi1/pi6/pd9.html;0;1;;0;0
10{BOL}../../images/img_nopic_small.gif;85;86;1;0;19;65;65;;;6;6;0;0;0_2C00_20kg;0;1;0;1;0;1;50;0;;;;0;St_C3_BCck;1;ml;1;0;;;pi1/pi6/pd10.html;0;1;;0;0
